Ruangan,mac,RSSI,Lantai
Depan satuan pengawas (LT3),06:70:AB:A7:AB:7B,-50,3
Depan satuan pengawas (LT3),06:70:AB:A7:AB:7B,-51,3
Depan satuan pengawas (LT3),06:70:AB:A7:AB:7B,-51,3
Depan satuan pengawas (LT3),06:70:AB:A7:AB:7B,-49,3
Depan satuan pengawas (LT3),06:70:AB:A7:AB:7B,-48,3
Depan satuan pengawas (LT3),06:70:AB:A7:AB:7B,-49,3
Depan satuan pengawas (LT3),06:70:AB:A7:AB:7B,-52,3
Depan satuan pengawas (LT3),06:70:AB:A7:AB:7B,-53,3
Depan satuan pengawas (LT3),06:70:AB:A7:AB:7B,-55,3
Depan satuan pengawas (LT3),06:70:AB:A7:AB:7B,-50,3
Kepala lpmpp (LT3),06:0D:9E:A8:85:2D,-41,3
Kepala lpmpp (LT3),06:0D:9E:A8:85:2D,-41,3
Kepala lpmpp (LT3),06:0D:9E:A8:85:2D,-42,3
Kepala lpmpp (LT3),06:0D:9E:A8:85:2D,-38,3
Kepala lpmpp (LT3),06:0D:9E:A8:85:2D,-42,3
Kepala lpmpp (LT3),06:0D:9E:A8:85:2D,-43,3
Kepala lpmpp (LT3),06:0D:9E:A8:85:2D,-33,3
Kepala lpmpp (LT3),06:0D:9E:A8:85:2D,-45,3
Kepala lpmpp (LT3),06:0D:9E:A8:85:2D,-44,3
Kepala lpmpp (LT3),06:0D:9E:A8:85:2D,-42,3
Kepala lppm (LT3),06:70:AB:A7:AB:7B,-67,3
Kepala lppm (LT3),06:70:AB:A7:AB:7B,-69,3
Kepala lppm (LT3),06:70:AB:A7:AB:7B,-65,3
Kepala lppm (LT3),06:70:AB:A7:AB:7B,-69,3
Kepala lppm (LT3),06:70:AB:A7:AB:7B,-65,3
Kepala lppm (LT3),06:70:AB:A7:AB:7B,-65,3
Kepala lppm (LT3),06:70:AB:A7:AB:7B,-65,3
Kepala lppm (LT3),06:70:AB:A7:AB:7B,-67,3
Kepala lppm (LT3),06:70:AB:A7:AB:7B,-72,3
Kepala lppm (LT3),06:70:AB:A7:AB:7B,-68,3
L2 Depan Tangga (LT2),06:0D:9E:A8:85:2C,-69,2
L2 Depan Tangga (LT2),06:0D:9E:A8:85:2C,-67,2
L2 Depan Tangga (LT2),06:0D:9E:A8:85:2C,-67,2
L2 Depan Tangga (LT2),06:0D:9E:A8:85:2C,-68,2
L2 Depan Tangga (LT2),06:0D:9E:A8:85:2C,-71,2
L2 Depan Tangga (LT2),06:0D:9E:A8:85:2C,-72,2
L2 Depan Tangga (LT2),06:0D:9E:A8:85:2C,-65,2
L2 Depan Tangga (LT2),06:0D:9E:A8:85:2C,-65,2
L2 Depan Tangga (LT2),06:0D:9E:A8:85:2C,-66,2
L2 Depan Tangga (LT2),06:0D:9E:A8:85:2C,-71,2
Lorong BMN (LT2),06:0D:9E:A8:8E:6C,-60,2
Lorong BMN (LT2),06:0D:9E:A8:8E:6C,-58,2
Lorong BMN (LT2),06:0D:9E:A8:8E:6C,-58,2
Lorong BMN (LT2),06:0D:9E:A8:8E:6C,-59,2
Lorong BMN (LT2),06:0D:9E:A8:8E:6C,-59,2
Lorong BMN (LT2),06:0D:9E:A8:8E:6C,-62,2
Lorong BMN (LT2),06:0D:9E:A8:8E:6C,-56,2
Lorong BMN (LT2),06:0D:9E:A8:8E:6C,-56,2
Lorong BMN (LT2),06:0D:9E:A8:8E:6C,-61,2
Lorong BMN (LT2),06:0D:9E:A8:8E:6C,-63,2
Ruang kabag umum (LT2),06:0D:9E:A8:8E:6D,-82,2
Ruang kabag umum (LT2),06:0D:9E:A8:8E:6D,-85,2
Ruang kabag umum (LT2),06:0D:9E:A8:8E:6D,-79,2
Ruang kabag umum (LT2),06:0D:9E:A8:8E:6D,-80,2
Ruang kabag umum (LT2),06:0D:9E:A8:8E:6D,-82,2
