Ruangan,mac,RSSI,Lantai
Depan satuan pengawas (LT3),06:70:AB:A7:AB:7B,-50,3
Depan satuan pengawas (LT3),06:70:AB:A7:AB:7B,-55,3
Depan satuan pengawas (LT3),06:70:AB:A7:AB:7B,-52,3
Depan satuan pengawas (LT3),06:70:AB:A7:AB:7B,-52,3
Depan satuan pengawas (LT3),06:70:AB:A7:AB:7B,-48,3
Depan satuan pengawas (LT3),06:70:AB:A7:AB:7B,-51,3
Depan satuan pengawas (LT3),06:70:AB:A7:AB:7B,-51,3
Depan satuan pengawas (LT3),06:70:AB:A7:AB:7B,-49,3
Depan satuan pengawas (LT3),06:70:AB:A7:AB:7B,-46,3
Depan satuan pengawas (LT3),06:70:AB:A7:AB:7B,-45,3
Depan satuan pengawas (LT3),06:70:AB:A7:AB:7B,-55,3
Kepala lpmpp (LT3),06:0D:9E:A8:85:2D,-41,3
Kepala lpmpp (LT3),06:0D:9E:A8:85:2D,-40,3
Kepala lpmpp (LT3),06:0D:9E:A8:85:2D,-38,3
Kepala lpmpp (LT3),06:0D:9E:A8:85:2D,-40,3
Kepala lpmpp (LT3),06:0D:9E:A8:85:2D,-40,3
Kepala lpmpp (LT3),06:0D:9E:A8:85:2D,-39,3
Kepala lpmpp (LT3),06:0D:9E:A8:85:2D,-36,3
Kepala lpmpp (LT3),06:0D:9E:A8:85:2D,-42,3
Kepala lpmpp (LT3),06:0D:9E:A8:85:2D,-39,3
Kepala lpmpp (LT3),06:0D:9E:A8:85:2D,-36,3
Kepala lpmpp (LT3),06:0D:9E:A8:85:2D,-39,3
Kepala lppm (LT3),06:70:AB:A7:AB:7B,-67,3
Kepala lppm (LT3),06:70:AB:A7:AB:7B,-67,3
Kepala lppm (LT3),06:70:AB:A7:AB:7B,-71,3
Kepala lppm (LT3),06:70:AB:A7:AB:7B,-66,3
Kepala lppm (LT3),06:70:AB:A7:AB:7B,-64,3
Kepala lppm (LT3),06:70:AB:A7:AB:7B,-64,3
Kepala lppm (LT3),06:70:AB:A7:AB:7B,-71,3
Kepala lppm (LT3),06:70:AB:A7:AB:7B,-71,3
Kepala lppm (LT3),06:70:AB:A7:AB:7B,-69,3
Kepala lppm (LT3),06:70:AB:A7:AB:7B,-64,3
Kepala lppm (LT3),06:70:AB:A7:AB:7B,-63,3
L2 Depan Tangga (LT2),06:0D:9E:A8:85:2C,-69,2
L2 Depan Tangga (LT2),06:0D:9E:A8:85:2C,-67,2
L2 Depan Tangga (LT2),06:0D:9E:A8:85:2C,-72,2
L2 Depan Tangga (LT2),06:0D:9E:A8:85:2C,-68,2
L2 Depan Tangga (LT2),06:0D:9E:A8:85:2C,-73,2
L2 Depan Tangga (LT2),06:0D:9E:A8:85:2C,-68,2
L2 Depan Tangga (LT2),06:0D:9E:A8:85:2C,-74,2
L2 Depan Tangga (LT2),06:0D:9E:A8:85:2C,-70,2
L2 Depan Tangga (LT2),06:0D:9E:A8:85:2C,-74,2
L2 Depan Tangga (LT2),06:0D:9E:A8:85:2C,-73,2
L2 Depan Tangga (LT2),06:0D:9E:A8:85:2C,-67,2
Lorong BMN (LT2),06:0D:9E:A8:8E:6C,-60,2
Lorong BMN (LT2),06:0D:9E:A8:8E:6C,-63,2
